sample_id,library_id,lane,sample_type,library_type,flowcell_id,seq_platform,fastq_1,fastq_2
AF014,library_1,L005,ancient,double-stranded,A23275YLT3,Illumina,/cfs/klemming/projects/supr/sllstore2017093/MASTER_INBOX_nrmdna02/Bum_6_Seq/files/P34861/P34861_1002/02-FASTQ/20250409_LH00188_0230_A23275YLT3/P34861_1002_S234_L005_R1_001.fastq.gz,/cfs/klemming/projects/supr/sllstore2017093/MASTER_INBOX_nrmdna02/Bum_6_Seq/files/P34861/P34861_1002/02-FASTQ/20250409_LH00188_0230_A23275YLT3/P34861_1002_S234_L005_R2_001.fastq.gz
AF042,library_1,L005,ancient,double-stranded,A23275YLT3,Illumina,/cfs/klemming/projects/supr/sllstore2017093/MASTER_INBOX_nrmdna02/Bum_6_Seq/files/P34861/P34861_1024/02-FASTQ/20250409_LH00188_0230_A23275YLT3/P34861_1024_S256_L005_R1_001.fastq.gz,/cfs/klemming/projects/supr/sllstore2017093/MASTER_INBOX_nrmdna02/Bum_6_Seq/files/P34861/P34861_1024/02-FASTQ/20250409_LH00188_0230_A23275YLT3/P34861_1024_S256_L005_R2_001.fastq.gz
AF047,library_1,L005,ancient,double-stranded,A23275YLT3,Illumina,/cfs/klemming/projects/supr/sllstore2017093/MASTER_INBOX_nrmdna02/Bum_6_Seq/files/P34861/P34861_1029/02-FASTQ/20250409_LH00188_0230_A23275YLT3/P34861_1029_S261_L005_R1_001.fastq.gz,/cfs/klemming/projects/supr/sllstore2017093/MASTER_INBOX_nrmdna02/Bum_6_Seq/files/P34861/P34861_1029/02-FASTQ/20250409_LH00188_0230_A23275YLT3/P34861_1029_S261_L005_R2_001.fastq.gz
AF048,library_1,L005,ancient,double-stranded,A23275YLT3,Illumina,/cfs/klemming/projects/supr/sllstore2017093/MASTER_INBOX_nrmdna02/Bum_6_Seq/files/P34861/P34861_1030/02-FASTQ/20250409_LH00188_0230_A23275YLT3/P34861_1030_S262_L005_R1_001.fastq.gz,/cfs/klemming/projects/supr/sllstore2017093/MASTER_INBOX_nrmdna02/Bum_6_Seq/files/P34861/P34861_1030/02-FASTQ/20250409_LH00188_0230_A23275YLT3/P34861_1030_S262_L005_R2_001.fastq.gz
AF049,library_1,L005,ancient,double-stranded,A23275YLT3,Illumina,/cfs/klemming/projects/supr/sllstore2017093/MASTER_INBOX_nrmdna02/Bum_6_Seq/files/P34861/P34861_1031/02-FASTQ/20250409_LH00188_0230_A23275YLT3/P34861_1031_S263_L005_R1_001.fastq.gz,/cfs/klemming/projects/supr/sllstore2017093/MASTER_INBOX_nrmdna02/Bum_6_Seq/files/P34861/P34861_1031/02-FASTQ/20250409_LH00188_0230_A23275YLT3/P34861_1031_S263_L005_R2_001.fastq.gz
AF014D,library_1,L002,ancient,double-stranded,B23FLV5LT4,Illumina,/cfs/klemming/projects/supr/sllstore2017093/MASTER_INBOX_nrmdna02/But_6_DeepSeq/files/P38217/P38217_1038/02-FASTQ/20251223_LH00188_0344_B23FLV5LT4/P38217_1038_S162_L002_R1_001.fastq.gz,/cfs/klemming/projects/supr/sllstore2017093/MASTER_INBOX_nrmdna02/But_6_DeepSeq/files/P38217/P38217_1038/02-FASTQ/20251223_LH00188_0344_B23FLV5LT4/P38217_1038_S162_L002_R2_001.fastq.gz
AF042D,library_1,L002,ancient,double-stranded,B23FLV5LT4,Illumina,/cfs/klemming/projects/supr/sllstore2017093/MASTER_INBOX_nrmdna02/But_6_DeepSeq/files/P38217/P38217_1039/02-FASTQ/20251223_LH00188_0344_B23FLV5LT4/P38217_1039_S163_L002_R1_001.fastq.gz,/cfs/klemming/projects/supr/sllstore2017093/MASTER_INBOX_nrmdna02/But_6_DeepSeq/files/P38217/P38217_1039/02-FASTQ/20251223_LH00188_0344_B23FLV5LT4/P38217_1039_S163_L002_R2_001.fastq.gz
AF047D,library_1,L002,ancient,double-stranded,B23FLV5LT4,Illumina,/cfs/klemming/projects/supr/sllstore2017093/MASTER_INBOX_nrmdna02/But_6_DeepSeq/files/P38217/P38217_1040/02-FASTQ/20251223_LH00188_0344_B23FLV5LT4/P38217_1040_S164_L002_R1_001.fastq.gz,/cfs/klemming/projects/supr/sllstore2017093/MASTER_INBOX_nrmdna02/But_6_DeepSeq/files/P38217/P38217_1040/02-FASTQ/20251223_LH00188_0344_B23FLV5LT4/P38217_1040_S164_L002_R2_001.fastq.gz
AF048D,library_1,L002,ancient,double-stranded,B23FLV5LT4,Illumina,/cfs/klemming/projects/supr/sllstore2017093/MASTER_INBOX_nrmdna02/But_6_DeepSeq/files/P38217/P38217_1041/02-FASTQ/20251223_LH00188_0344_B23FLV5LT4/P38217_1041_S165_L002_R1_001.fastq.gz,/cfs/klemming/projects/supr/sllstore2017093/MASTER_INBOX_nrmdna02/But_6_DeepSeq/files/P38217/P38217_1041/02-FASTQ/20251223_LH00188_0344_B23FLV5LT4/P38217_1041_S165_L002_R2_001.fastq.gz
AF049D,library_1,L002,ancient,double-stranded,B23FLV5LT4,Illumina,/cfs/klemming/projects/supr/sllstore2017093/MASTER_INBOX_nrmdna02/But_6_DeepSeq/files/P38217/P38217_1042/02-FASTQ/20251223_LH00188_0344_B23FLV5LT4/P38217_1042_S166_L002_R1_001.fastq.gz,/cfs/klemming/projects/supr/sllstore2017093/MASTER_INBOX_nrmdna02/But_6_DeepSeq/files/P38217/P38217_1042/02-FASTQ/20251223_LH00188_0344_B23FLV5LT4/P38217_1042_S166_L002_R2_001.fastq.gz
