ID	reference	n_reads	n_alns	read_length_mean	read_length_std	read_length_min	read_length_max	read_length_median	read_length_mode	gc_content	read_aligned_length	read_aln_score	mapping_quality	edit_distances	read_ani_mean	read_ani_std	read_ani_median	bases_covered	max_covered_bases	mean_covered_bases	coverage_mean	coverage_mean_trunc	coverage_mean_trunc_len	coverage_covered_mean	reference_length	bam_reference_length	breadth	exp_breadth	breadth_exp_ratio	n_bins	site_density	entropy	norm_entropy	gini	norm_gini	c_v	d_i	cov_evenness	tax_abund_read	tax_abund_aln	tax_abund_tad	n_reads_tad
AF042	Crithidia bombi GCA_900240985.1_crithidia-bombi.GDC.2013.v1_genomic_pseudocromosoma	541	541	3.804.436.229.205.170	693.741.003.344.945	30	88	37.0	34	3.221.261.296.278.300	3.804.436.229.205.170		3.099.075.785.582.250					4873	88	3.837.007.874.015.740	0.0006382933726476052	0	0	4.199.261.235.378.610	32058926	32058926	0.0001520013490158716	0.0006380897067680413	0.23821313430327312	22	0.1520013490158716	29.633.355.837.856.900	0.9733336028101044	0.22921247300479808	0.2405172413793105	2.291.983.265.019.820	33.530.746.306.523.200	0.0	17	17	0	0
AF042	Snodgrassella communis GCA_914768045.1_LMG_28360_genomic_pseudocromosoma	99	99	38.525.252.525.252.500	11.735.471.638.517.000	30	121	37.0	34	3.235.448.348.190.870	38.525.252.525.252.500		2.677.777.777.777.770					671	121	55.916.666.666.666.600	0.0016510367940401852	0	0	569.150.521.609.538	2313092	2313092	0.00029008789965984924	0.0016496745825828052	0.17584552900468073	13	0.2900878996598492	18.782.422.989.932.600	0.755864039721072	0.5642076502732241	0.6149253731343284	11.036.589.253.963.400	20.110.668.694.350.100	0.0	43	43	0	0
AF042	Snodgrassella gandavensis GCA_914768025.1_LMG_30236_genomic_pseudocromosoma	83	83	58.433.734.939.759.000	2.509.406.341.760.800	30	156	52.0	30	4.548.453.608.247.420	58.433.734.939.759.000		33.963.855.421.686.700					4672	156	60.675.324.675.324.600	0.001930674876182384	0	0	10.378.852.739.726.000	2511557	2511557	0.0018602006643687562	0.0019288123222984677	0.964428027996031	15	1.860.200.664.368.750	2.497.014.851.713.030	0.9461771409885015	0.2867539138943248	0.30835639910372986	9.889.765.303.349.130	1.888.344.013.914.820	0.0	33	33	0	0
AF042	Wolbachia pipientis CP042446.1	31	31	4.725.806.451.612.900	14.447.532.065.916.900	30	77	43.0	30	5.385.665.529.010.230	4.725.806.451.612.900		24.516.129.032.258.000					563	104	46.916.666.666.666.600	0.0011563511363555693	0	0	26.039.076.376.554.100	1267781	1267781	0.0004440830080274117	0.0011556828200078861	0.3842602834784559	14	0.4440830080274117	13.291.742.499.040.400	0.5182182596999578	0.7667714168602269	0.8297619047619048	3.354.211.759.937.030	13.009.801.971.880.600	0.0	24	24	0	0
AF042	Gilliamella mensalis GCA_900103085.1_LMG29880_genomic_pseudocromosoma	29	29	5.262.068.965.517.240	17.795.291.899.631.800	30	107	48.0	40	372.870.249.017.038	5.262.068.965.517.240		3.296.551.724.137.930					1380	107	55.2	0.0006683851630741694	0	0	1.107.246.376.811.590	2286107	2286107	0.0006036462860224827	0.0006681618434682957	0.9034432180219608	21	0.6036462860224827	254.342.609.768.249	0.8490164892689469	0.468623188405797	0.4932875667429442	9.380.841.531.536.790	5.881.801.989.986.590	0.0	13	13	0	0
AF042	Gilliamella bombicola GCA_900094945.1_IMG-taxon_2617270739_annotated_assembly_genomic_pseudocromosoma	26	26	7.338.461.538.461.530	3.239.515.633.310.250	35	177	63.0	43	3.721.174.004.192.870	7.338.461.538.461.530		3.392.307.692.307.690					1908	177	7.338.461.538.461.530	0.0008215412596277058	0	0	1.0	2322464	2322464	0.0008215412596277058	0.0008212038870019089	1.0	14	0.8215412596277057	22.005.909.107.092.100	0.8579484985522035	0.4429124334784712	0.47913933350826565	0.0	0.0	0.0	11	11	0	0
AF042	Fructobacillus fructosus GCA_963580325.1_LMG_30235_genomic_pseudocromosoma	17	17	51.411.764.705.882.300	1.406.262.254.848.560	30	76	45.0	41	5.697.940.503.432.490	51.411.764.705.882.300		22.647.058.823.529.400					509	77	5.655.555.555.555.550	0.000621856880315701	0	0	17.151.277.013.752.400	1403860	1403860	0.00036257176641545455	0.0006216635673990112	0.5832282691624101	15	0.3625717664154545	15.191.568.677.025.000	0.5756626486697553	0.7416502946954813	0.7973219720024345	270.150.552.907.454	4.538.393.674.526.320	0.0	12	12	0	0
AF042	Bifidobacterium bohemicum DSM 22767 Contig2 JGYP01000002.1	12	12	41.666.666.666.666.600	1.561.079.657.470.970	30	75	34.5	32	62.8	41.666.666.666.666.600		30.0					424	75	42.4	0.0005603379545306524	0	0	11.768.867.924.528.300	890534	890534	0.00047611882308816955	0.0005601809945372516	0.8499374804414362	12	0.47611882308816955	17.186.029.785.552.300	0.7167380699997214	0.5613207547169812	0.6147268408551069	6.817.736.196.606.180	2.604.536.367.663.730	0.0	13	13	0	0
AF042	Snodgrassella alvi wkB2 CP007446.1	12	12	43.083.333.333.333.300	11.277.155.777.244.600	31	68	40.0	33	6.286.266.924.564.790	43.083.333.333.333.300		27.583.333.333.333.300					516	68	43.0	0.00020411570037397476	0	0	1.0	2527978	2527978	0.00020411570037397476	0.00020409487018169248	1.0	13	0.20411570037397478	21.381.048.705.647.100	0.860436697188255	0.3956718346253232	0.4316420014094434	0.0	0.0	0.0	5	5	0	0
AF042	Arsenophonus apicola CP084222.1	10	10	45.3	68.645.627.844.912.400	35	56	45.5	35	63.576.158.940.397.300	45.3		21.8					215	66	53.75	0.00013721335131343165	0	0	21.069.767.441.860.400	3301428	3301428	6,51E+10	0.00013720393799210306	0.4746462489460806	19	0.06512333450858235	13.691.871.643.936.900	0.47373716682475026	0.7997416020671835	0.846069268829027	9.485.810.146.502.100	12.346.538.874.503.200	0.0	3	3	0	0
