ID	reference	n_reads	n_alns	read_length_mean	read_length_std	read_length_min	read_length_max	read_length_median	read_length_mode	gc_content	read_aligned_length	read_aln_score	mapping_quality	edit_distances	read_ani_mean	read_ani_std	read_ani_median	bases_covered	max_covered_bases	mean_covered_bases	coverage_mean	coverage_mean_trunc	coverage_mean_trunc_len	coverage_covered_mean	reference_length	bam_reference_length	breadth	exp_breadth	breadth_exp_ratio	n_bins	site_density	entropy	norm_entropy	gini	norm_gini	c_v	d_i	cov_evenness	tax_abund_read	tax_abund_aln	tax_abund_tad	n_reads_tad
AF014D	Crithidia bombi GCA_900240985.1_crithidia-bombi.GDC.2013.v1_genomic_pseudocromosoma	1791	1791	34.934.115.019.542.100	6.339.211.376.692.150	30	114	33.0	30	300.797.545.031.726	34.934.115.019.542.100		32.344.500.279.173.600					30563	126	34.534.463.276.836.100	0.0019256415514356284	0	0	20.198.933.350.783.600	32058926	32058926	0.0009533382372197995	0.0019237886932477188	0.4955524692321507	32	0.9533382372197996	34.101.979.357.126.900	0.9930724191174969	0.12125139716693079	0.12521296762892065	39.496.719.711.902.300	300.398.323.528.204	0.0	56	56	0	0
AF014D	Snodgrassella communis GCA_914768045.1_LMG_28360_genomic_pseudocromosoma	159	159	3.818.238.993.710.690	9.598.823.336.322.180	30	115	36.0	32	2.966.562.345.577.330	3.818.238.993.710.690		2.808.176.100.628.930					827	115	5.907.142.857.142.850	0.002625922358470826	0	0	7.344.619.105.199.510	2313092	2313092	0.00035753009391757874	0.002622477640201737	0.13633294272437546	12	0.35753009391757873	17.983.184.240.310.300	0.7499611370357865	0.5661206991315818	0.6219098400387785	10.512.004.176.040.800	2.901.702.811.369.310	0.0	69	69	0	0
AF014D	Vairimorpha apis GCA_000447185.1_NapisBRLv01_genomic_pseudocromosoma	101	101	51.960.396.039.603.900	2.639.239.314.350.980	30	147	36.0	30	6.573.932.926.829.260	51.960.396.039.603.900		3.107.920.792.079.200					2447	178	3.884.126.984.126.980	0.0006041878531458291	0	0	21.295.463.833.265.200	8624801	8624801	0.00028371669097060906	0.0006040053684184254	0.4697254458408455	15	0.2837166909706091	2.565.754.542.234.140	0.9722248908464876	0.21667931578025568	0.2325508213229275	4.486.890.943.132.030	12.163.624.857.965.300	0.0	12	12	0	0
AF014D	Snodgrassella gandavensis GCA_914768025.1_LMG_30236_genomic_pseudocromosoma	79	79	4.887.341.772.151.890	19.219.626.112.726.900	30	140	43.0	43	473.970.473.970.474	4.887.341.772.151.890		3.355.696.202.531.640					3860	140	48.860.759.493.670.800	0.0015368952406813782	0	0	1.0	2511557	2511557	0.0015368952406813782	0.0015357148219949934	1.0	17	1.536.895.240.681.370	26.928.758.198.029.700	0.9712502116147281	0.22522668393782397	0.23961142224987908	0.0	0.0	0.0	31	31	0	0
AF014D	Fructobacillus tropaeoli GCA_016860625.1_ASM1686062v1_genomic_pseudocromosoma	55	55	4.492.727.272.727.270	12.635.714.442.059.800	30	80	41.0	33	4.127.883.447.996.760	4.492.727.272.727.270		33.945.454.545.454.500					2469	80	4.489.090.909.090.900	0.001407585110725468	0	0	1.0	1754068	1754068	0.001407585110725468	0.0014065949274471024	1.0	16	1.407.585.110.725.460	24.998.419.772.715.500	0.9231165901393644	0.33400837046037535	0.35686138154844715	0.0	0.0	0.0	31	31	0	0
AF014D	Gilliamella mensalis GCA_900103085.1_LMG29880_genomic_pseudocromosoma	43	43	4.425.581.395.348.830	12.882.422.545.128.200	30	89	39.0	39	3.457.698.370.993.160	4.425.581.395.348.830		332.093.023.255.814					1891	89	4.397.674.418.604.650	0.0008271703817887789	0	0	1.0	2286107	2286107	0.0008271703817887789	0.000826828370675492	1.0	14	0.8271703817887789	2.398.900.837.823.910	0.9352645978746749	0.29182768579912943	0.3148785871964678	0.0	0.0	0.0	19	19	0	0
AF014D	Apilactobacillus kunkeei CP080568.1	31	31	4.570.967.741.935.480	18.215.732.300.014.900	30	116	37.0	30	30.910.374.029.640.000	4.570.967.741.935.480		37.0					917	116	5.394.117.647.058.820	0.0009265887528076482	0	0	15.583.424.209.378.400	1542216	1542216	0.0005945989407450059	0.0009261596020082585	0.6420048331364208	13	0.5945989407450059	1.781.534.951.630.260	0.7169484059628578	0.600781533987641	0.654198169518504	1.897.004.364.591.080	33.344.459.687.927.800	0.0	20	20	0	0
AF014D	Vairimorpha ceranae GCA_000988165.1_ASM98816v1_genomic_pseudocromosoma	28	28	32.5	3.338.884.266.959.270	30	46	32.0	30	16.923.076.923.076.900	32.5		34.857.142.857.142.800					866	46	32.074.074.074.074.000	0.00015563394895206473	0	0	10.323.325.635.103.900	5744248	5744248	0.00015075950759786138	0.0001556218386172814	0.9687554711946446	13	0.1507595075978614	2.333.342.002.530.180	0.9390109223161958	0.3056197074672825	0.3320008415737428	11.371.812.441.976.600	20.126.289.408.927.200	0.0	5	5	0	0
AF014D	Apibacter mensalis GCA_900018365.1_IMG-taxon_2615840617_annotated_assembly_genomic_pseudocromosoma	28	28	39.75	9.528.223.183.628.570	30	64	36.5	30	2.641.509.433.962.260	39.75		34.0					969	64	38.76	0.0004749061963910555	0	0	11.444.788.441.692.400	2335198	2335198	0.0004149541066753226	0.00047479344629264286	0.8739676377494945	13	0.4149541066753226	2.200.245.391.301.590	0.8854490161771903	0.40170278637770906	0.43679458239277646	1.329.291.959.752.300	8.391.673.766.921.210	0.0	12	12	0	0
AF014D	Gilliamella bombicola GCA_900094945.1_IMG-taxon_2617270739_annotated_assembly_genomic_pseudocromosoma	23	23	4.652.173.913.043.470	1.690.849.588.820.900	30	84	41.0	30	3.560.747.663.551.400	4.652.173.913.043.470		3.369.565.217.391.300					1003	84	4.559.090.909.090.900	0.00046071758270526476	0	0	10.667.996.011.964.100	2322464	2322464	0.0004318689116386734	0.0004606114686566132	0.9375991286066578	14	0.4318689116386734	2.420.283.874.009.730	0.9436030984077763	0.26321036889332006	0.2838355252205759	5.421.958.780.064.100	1.354.400.826.174.450	0.0	10	10	0	0
