ID	reference	n_reads	n_alns	read_length_mean	read_length_std	read_length_min	read_length_max	read_length_median	read_length_mode	gc_content	read_aligned_length	read_aln_score	mapping_quality	edit_distances	read_ani_mean	read_ani_std	read_ani_median	bases_covered	max_covered_bases	mean_covered_bases	coverage_mean	coverage_mean_trunc	coverage_mean_trunc_len	coverage_covered_mean	reference_length	bam_reference_length	breadth	exp_breadth	breadth_exp_ratio	n_bins	site_density	entropy	norm_entropy	gini	norm_gini	c_v	d_i	cov_evenness	tax_abund_read	tax_abund_aln	tax_abund_tad	n_reads_tad
AF047D	GCA_000471645.3_BiG_1.2_genomic_pseudocromosoma	3	3	33.0	5.196152422706632	30	39	30.0	30	45.45454545454545	33.0		30.333333333333332					98	39	32.666666666666664	4.372267332916927e-05	0	0	1.0	2241400	2241400	4.372267332916927e-05	4.372171750699483e-05	1.0	75	0.04372267332916927	1.0893919203182392	0.2566012094342576	0.9622173193601765	0.970440040309036	0.0	0.0	0.0	1	1	0	0
AF047D	GCA_914768045.1_LMG_28360_genomic_pseudocromosoma	126	126	36.817460317460316	6.7271400088308475	30	88	36.0	33	29.165768484587197	36.817460317460316		27.46031746031746					238	88	59.5	0.0020059729574093896	0	0	19.49579831932773	2313092	2313092	0.0001028925784188437	0.0020039623382970273	0.051344566937461554	19	0.1028925784188437	1.3156520143137644	0.455261161940398	0.823062558356676	0.8696741854636592	20198.17411309895	818369.2399671958	0.0	54	54	0	0
AF047D	GCA_914768025.1_LMG_30236_genomic_pseudocromosoma	30	30	45.266666666666666	15.026260537709522	31	90	40.0	38	45.50810014727541	45.266666666666666		34.86666666666667					1357	90	45.233333333333334	0.0005403022905711476	0	0	1.0	2511557	2511557	0.0005403022905711476	0.0005401563535730736	1.0	14	0.5403022905711476	2.3120829891645416	0.9014184882771211	0.36914007142452243	0.3984240334892884	0.0	0.0	0.0	12	12	0	0
AF047D	GCA_963580325.1_LMG_30235_genomic_pseudocromosoma	180	180	44.71111111111111	12.130339123460448	30	96	42.0	33	44.23459244532803	44.71111111111111		34.333333333333336					7946	96	45.14772727272727	0.0057242175145669795	0	0	1.0113264535615405	1403860	1403860	0.005660108557833402	0.005707865397392875	0.991633152459887	25	5.660108557833402	3.055981290147271	0.9615890063719156	0.2557890762647873	0.2667338025548124	19.498984955076132	2.1764071126325275	0.0	128	128	0	0
AF047D	CP080568.1	13	13	34.76923076923077	3.6777222605358637	30	40	35.0	30	23.008849557522122	34.76923076923077		35.0					150	46	37.5	0.00030151418478345445	0	0	3.1	1542216	1542216	9.726264025272725e-05	0.00030146873394976126	0.32262927892527565	47	0.09726264025272724	0.9574475494624914	0.250643033134425	0.9518840579710145	0.9713024282560706	7692.205547389482	17840.602208270193	0.0	8	8	0	0
AF047D	GCA_900018365.1_IMG-taxon_2615840617_annotated_assembly_genomic_pseudocromosoma	5	5	32.4	2.073644135332772	30	35	32.0	30	29.01234567901235	32.4		32.2					158	34	31.6	6.766021553632711e-05	0	0	1.0	2335198	2335198	6.766021553632711e-05	6.765792663554482e-05	1.0	37	0.06766021553632712	1.3234066471324124	0.3699312338721716	0.9078762306610408	0.9299119111451551	0.0	0.0	0.0	2	2	0	0
AF047D	GCA_900103085.1_LMG29880_genomic_pseudocromosoma	29	29	49.758620689655174	23.606378031028864	30	115	42.0	33	35.62023562023562	49.758620689655174		30.724137931034484					1375	115	50.925925925925924	0.0006303292015640562	0	0	1.048	2286107	2286107	0.0006014591617977636	0.0006301305858461559	0.9544992344564713	13	0.6014591617977636	2.3145435098051403	0.9314443002700628	0.2902424242424243	0.31504307488402916	482.0073122349203	146.44504464492252	0.0	13	13	0	0
AF047D	CP007445.1	4	4	31.0	1.4142135623730951	30	33	30.5	30	23.387096774193548	31.0		34.0					94	36	31.333333333333332	3.8542249312928664e-05	0	0	1.2872340425531914	3139412	3139412	2.9941912689382597e-05	3.854150657001121e-05	0.7768744751841156	14	0.029941912689382597	1.0931901022313288	0.4264790396426942	0.7806873977086743	0.8415300546448088	11802.57655328405	5368.966675553187	0.0	1	1	0	0
AF047D	CP084222.1	4	4	33.75	5.560275772537426	30	42	31.5	30	28.14814814814815	33.75		31.0					133	42	33.25	4.028559762623931e-05	0	0	1.0	3301428	3301428	4.028559762623931e-05	4.0284786172462006e-05	1.0	12	0.04028559762623931	1.0518827003247244	0.43871974978309997	0.7723855092276145	0.8484848484848485	0.0	0.0	0.0	1	1	0	0
AF047D	GCA_900094945.1_IMG-taxon_2617270739_annotated_assembly_genomic_pseudocromosoma	11	11	43.90909090909091	16.47091099760147	30	78	38.0	30	39.958592132505174	43.90909090909091		34.63636363636363					479	78	43.54545454545455	0.0002062464692671232	0	0	1.0	2322464	2322464	0.0002062464692671232	0.00020622520192625782	1.0	12	0.2062464692671232	1.8862238983794866	0.7866379254302222	0.47788954260770533	0.522689075630252	0.0	0.0	0.0	5	5	0	0
