ID	species	reference	n_reads	n_alns	read_length_mean	read_length_std	read_length_min	read_length_max	read_length_median	read_length_mode	gc_content	read_aligned_length	read_aln_score	mapping_quality	edit_distances	read_ani_mean	read_ani_std	read_ani_median	bases_covered	max_covered_bases	mean_covered_bases	coverage_mean	coverage_mean_trunc	coverage_mean_trunc_len	coverage_covered_mean	reference_length	bam_reference_length	breadth	exp_breadth	breadth_exp_ratio	n_bins	site_density	entropy	norm_entropy	gini	norm_gini	c_v	d_i	cov_evenness	tax_abund_read	tax_abund_aln	tax_abund_tad	n_reads_tad
AF047	Bifidobacterium bohemicum DSM 22767 Contig2	JGYP01000002.1	1632	22	3.581.818.181.818.180	7.798.878.818.298.870	30	63	32.5	32	6.434.010.152.284.260	3.581.818.181.818.180		28.727.272.727.272.700					665	63	3.911.764.705.882.350	0.0008848623410223529	0	0	11.849.624.060.150.300	890534	890534	0.0007467429654566811	0.0008844709657873651	0.8442820559880367	13	0.7467429654566811	17.398.609.821.150.700	0.7001827062409292	0.619172932330827	0.673901098901099	5.005.281.266.862.680	22.168.315.147.541.000	0.0	25	25	0	0
AF047	Wolbachia pipientis	CP042446.1	208	42	4.254.761.904.761.900	10.766.257.997.371.600	30	73	41.0	30	5.159.485.170.677.110	4.254.761.904.761.900		2.630.952.380.952.380					567	106	5.154.545.454.545.450	0.0014103382208756874	0	0	31.534.391.534.391.500	1267781	1267781	0.0004472381270897734	0.0014093441613020063	0.31733776558636867	15	0.4472381270897734	14.423.847.132.801.100	0.5465687884110758	0.7577475434618293	0.814804698169899	37.076.008.189.533.200	19.386.937.691.031.400	0.0	33	33	0	0
AF047	Bifidobacterium bohemicum DSM 22767 Contig4	JGYP01000004.1	55	15	35.333.333.333.333.300	5.639.993.245.521.110	30	48	34.0	31	61.886.792.452.830.100	35.333.333.333.333.300		28.2					380	54	38.0	0.0017707334511594963	0	0	1.394.736.842.105.260	299311	299311	0.0012695824744162426	0.0017691666276273832	0.7176161106536758	17	12.695.824.744.162.400	12.842.099.374.217.000	0.46320879297053835	0.8039473684210526	0.8563340410474168	3.442.011.333.852.670	20.978.661.899.683.700	0.0	50	50	0	0
AF047	Bifidobacterium bohemicum DSM 22767 Contig1	JGYP01000001.1	42	14	32.214.285.714.285.700	38.864.373.923.164.600	30	45	31.0	30	6.119.733.924.611.970	32.214.285.714.285.700		30.142.857.142.857.100					396	55	33.0	0.0007753075760846104	0	0	11.338.383.838.383.800	579125	579125	0.0006837902007338657	0.0007750071028239658	0.8823018501924376	14	0.6837902007338658	16.313.411.857.616.600	0.636046200782786	0.6736596736596736	0.727388535031847	439.708.464.777.467	14.990.070.669.481.300	0.0	24	24	0	0
AF047	Arsenophonus apicola	CP084222.1	32	21	3.980.952.380.952.380	912.479.614.906.025	30	64	37.0	31	611.244.019.138.756	3.980.952.380.952.380		23.333.333.333.333.300					503	64	3.869.230.769.230.760	0.0002529208572775175	0	0	16.600.397.614.314.100	3301428	3301428	0.00015235831282705545	0.00025288887549379524	0.60247139194857	14	0.15235831282705545	17.746.809.857.673.500	0.6919163418203521	0.5863281847377275	0.6329999999999999	7.850.038.329.636.220	15.585.767.729.477.300	0.0	6	6	0	0
AF047	Snodgrassella gandavensis	GCA_914768025.1_LMG_30236_genomic_pseudocromosoma	22	32	4.540.625	39.291.187.040.254.400	30	251	34.0	30	5.492.085.340.674.460	4.540.625		28.625					1360	251	4.689.655.172.413.790	0.0005789237512825709	0	0	10.691.176.470.588.200	2511557	2511557	0.0005414967687374804	0.0005787562072609997	0.9356215310417973	13	0.5414967687374804	22.859.648.116.566.600	0.9199431141888094	0.34215686274509804	0.37191854233654864	5.729.197.218.264.660	19.002.419.978.297.000	0.0	13	13	0	0
AF047	Snodgrassella communis	GCA_914768045.1_LMG_28360_genomic_pseudocromosoma	21	208	3.653.846.153.846.150	464.887.514.714.896	30	47	36.0	32	31.276.315.789.473.600	3.653.846.153.846.150		28.403.846.153.846.100					717	62	35.85	0.0032774312478708154	0	0	10.573.221.757.322.100	2313092	2313092	0.0003099747005307182	0.0032720663327258093	0.09473362365257809	14	0.3099747005307182	18.201.465.488.566.000	0.7096286967655152	0.623109108464757	0.6742018177580983	11.522.831.774.287.800	43.516.307.114.417.400	0.0	90	90	0	0
AF047	Apibacter mensalis	GCA_900018365.1_IMG-taxon_2615840617_annotated_assembly_genomic_pseudocromosoma	21	19	418.421.052.631.579	15.438.995.210.162.300	30	81	34.0	30	4.264.150.943.396.220	418.421.052.631.579		27.0					507	81	39.0	0.0003387293068938908	0	0	15.601.577.909.270.200	2335198	2335198	0.0002171122106134041	0.00033867194459913375	0.6410693713362858	12	0.21711221061340408	12.229.949.966.937.600	0.5100326412770524	0.754527523758293	0.8296442687747037	4.769.901.764.419.430	7.706.756.604.017.910	0.0	8	8	0	0
AF047	Snodgrassella alvi	CP007446.1	19	21	4.057.142.857.142.850	11.329.481.138.037.200	30	79	37.0	30	60.798.122.065.727.600	4.057.142.857.142.850		26.714.285.714.285.700					745	79	41.388.888.888.888.800	0.000336237103329222	0	0	11.409.395.973.154.300	2527978	2527978	0.0002947019317414946	0.00033618058196938083	0.8766179474587735	13	0.29470193174149456	2.304.506.661.623.060	0.9274053860712226	0.30055928411633115	0.3269794721407626	10.355.579.254.280.700	3.605.740.178.037.000	0.0	8	8	0	0
AF047	Fructobacillus fructosus	GCA_963580325.1_LMG_30235_genomic_pseudocromosoma	17	11	49.0	1.842.823.919.966.310	32	90	40.0	40	5.825.602.968.460.110	49.0		24.181.818.181.818.100					316	90	63.2	0.00038394141865998033	0	0	17.056.962.025.316.400	1403860	1403860	0.00022509367030900518	0.00038386772258547364	0.5863834260221888	12	0.22509367030900518	12.311.455.981.982.600	0.5134534631230557	0.7468354430379747	0.8201530612244898	2.720.352.192.294.250	28.412.878.428.153.500	0.0	8	8	0	0
