ID	species	reference	n_reads	n_alns	read_length_mean	read_length_std	read_length_min	read_length_max	read_length_median	read_length_mode	gc_content	read_aligned_length	read_aln_score	mapping_quality	edit_distances	read_ani_mean	read_ani_std	read_ani_median	bases_covered	max_covered_bases	mean_covered_bases	coverage_mean	coverage_mean_trunc	coverage_mean_trunc_len	coverage_covered_mean	reference_length	bam_reference_length	breadth	exp_breadth	breadth_exp_ratio	n_bins	site_density	entropy	norm_entropy	gini	norm_gini	c_v	d_i	cov_evenness	tax_abund_read	tax_abund_aln	tax_abund_tad	n_reads_tad
AF048	Crithidia bombi	GCA_900240985.1_crithidia-bombi.GDC.2013.v1_genomic_pseudocromosoma	1283	1283	361.348.402.182.385	7.857.926.860.281.440	30	110	34.0	30	3.610.146.459.308.470	361.348.402.182.385		31.893.998.441.153.500					22658	112	3.585.126.582.278.480	0.0014283073612634434	0	0	2.020.919.763.438.960	32058926	32058926	0.0007067610437105722	0.001427287815770173	0.4951776620675486	29	0.7067610437105722	3.295.964.575.093.480	0.9891243746172746	0.15179438356682629	0.15723455530595123	54.743.168.312.013.100	4.280.372.177.607.720	0.0	40	40	0	0
AF048	Snodgrassella communis	GCA_914768045.1_LMG_28360_genomic_pseudocromosoma	198	198	3.658.585.858.585.850	4.770.914.631.016.650	30	56	36.0	32	3.059.083.379.348.420	3.658.585.858.585.850		28.282.828.282.828.200					642	57	35.666.666.666.666.600	0.0031321711371618596	0	0	11.285.046.728.971.900	2313092	2313092	0.00027755056867604055	0.003127271006496679	0.08875168416790528	12	0.27755056867604055	21.524.665.202.525.500	0.8976609564795401	0.36703483432455397	0.40112640801001254	12.274.008.636.984.900	4.718.656.161.149.510	0.0	86	86	0	0
AF048	Vairimorpha apis	GCA_000447185.1_NapisBRLv01_genomic_pseudocromosoma	83	83	7.449.397.590.361.440	34.111.143.123.896.100	30	141	77.0	30	4.738.799.935.306.480	7.449.397.590.361.440		31.481.927.710.843.300					1475	185	4.609.375	0.0007136396538308536	0	0	4.172.881.355.932.200	8624801	8624801	0.0001710184385703508	0.0007133850736161795	0.23972808640843996	15	0.1710184385703508	2.339.596.969.877.940	0.8865309986841752	0.4185472154963681	0.44945112388917924	9.600.981.913.092.220	6.578.248.524.179.860	0.0	10	10	0	0
AF048	Snodgrassellla gandavensis	GCA_914768025.1_LMG_30236_genomic_pseudocromosoma	34	34	51.970.588.235.294.100	3.081.566.435.013.950	30	168	38.0	30	5.500.848.896.434.630	51.970.588.235.294.100		31.147.058.823.529.400					1766	168	5.194.117.647.058.820	0.0007031494805811694	0	0	1.0	2511557	2511557	0.0007031494805811694	0.0007029023289166769	1.0	14	0.7031494805811693	23.142.816.450.467.900	0.9022731096417305	0.3752940151581148	0.40595181861124235	0.0	0.0	0.0	14	14	0	0
AF048	Wolbachia pipientis	CP042446.1	21	21	4.657.142.857.142.850	13.555.705.177.420.400	30	75	43.0	33	5.265.848.670.756.640	4.657.142.857.142.850		2.561.904.761.904.760					432	124	48.0	0.0007706378309818494	0	0	2.261.574.074.074.070	1267781	1267781	0.0003407528587350654	0.0007703409659119975	0.44234030619370235	14	0.34075285873506544	11.353.409.421.378.200	0.4426505838853062	0.8012820512820513	0.8672875436554133	35.597.058.865.851.700	9.765.141.898.334.500	0.0	17	17	0	0
AF048	Snodgrassellla alvi	CP007446.1	16	16	354.375	56.446.877.681.586.600	30	49	34.0	30	6.313.932.980.599.640	354.375		25.625					538	49	3.586.666.666.666.660	0.00022428992657372808	0	0	1.053.903.345.724.900	2527978	2527978	0.00021281830775426053	0.00022426477546855228	0.9489600286519502	13	0.21281830775426053	2.031.549.659.413.840	0.8175671496953724	0.4854399008674102	0.5279755849440488	10.077.895.266.322.900	22.779.776.046.476.100	0.0	6	6	0	0
AF048	Arsenophonus apicola	CP084222.1	16	16	460.625	20.605.723.314.975.700	30	101	37.0	31	519.674.355.495.251	460.625		21.5					482	101	48.2	0.00022323673271081485	0	0	15.290.456.431.535.200	3301428	3301428	0.00014599742899133346	0.00022321181724549444	0.6540757151345689	17	0.14599742899133344	16.445.711.265.539.300	0.5931664388839918	0.7365145228215768	0.7847820049986115	4.825.199.035.808.540	519.751.943.910.896	0.0	5	5	0	0
AF048	Vairimorpha bombi	GCA_059492115.1_UIUC_Nbom_1_genomic_pseudocromosoma	10	10	34.0	4.447.221.354.708.770	30	44	32.0	32	22.941.176.470.588.200	34.0		37.0					213	43	35.5	5,28E+10	0	0	15.727.699.530.516.400	6343490	6343490	3,36E+11	5,28E+10	0.6358376845353775	13	0.033577730870546024	11.990.061.822.220.500	0.4825739266269286	0.7679968701095462	0.8359240069084629	19.118.995.766.831.500	19.303.973.003.703.200	0.0	2	2	0	0
AF048	Apibacter mensalis	GCA_900018365.1_IMG-taxon_2615840617_annotated_assembly_genomic_pseudocromosoma	10	10	44.6	21.798.063.114.771.300	30	102	35.5	30	52.242.152.466.367.700	44.6		27.6					360	102	45.0	0.0001901337702413243	0	0	12.333.333.333.333.300	2335198	2335198	0.00015416251641188456	0.00019011569596161237	0.810887894511417	13	0.15416251641188455	14.525.540.174.580.100	0.5845507385888875	0.6930555555555555	0.756060606060606	31.208.080.143.855.700	18.517.969.534.994.600	0.0	4	4	0	0
AF048	Fructobacillus fructosus	GCA_963580325.1_LMG_30235_genomic_pseudocromosoma	10	10	56.2	22.144.976.857.066.200	32	93	47.0	40	5.907.473.309.608.540	56.2		26.4					294	93	73.5	0.0004003248187141168	0	0	191.156.462.585.034	1403860	1403860	0.00020942259199635291	0.00040024469942545604	0.523236390880317	29	0.2094225919963529	0.9216959840847787	0.2766966478075345	0.9263848396501457	0.9597003358305347	48.305.840.140.916.600	9.341.396.262.779.210	0.0	7	7	0	0
